,title,link
126,The interspecies internet? An idea in progress,https://www.ted.com/talks/diana_reiss_peter_gabriel_neil_gershenfeld_and_vint_cerf_the_interspecies_internet_an_idea_in_progress?language=en
127,A tale of two political systems,https://www.ted.com/talks/eric_x_li_a_tale_of_two_political_systems?language=en
128,Anatomy of a New Yorker cartoon,https://www.ted.com/talks/bob_mankoff_anatomy_of_a_new_yorker_cartoon?language=en
129,The family I lost in North Korea. And the family I gained.,https://www.ted.com/talks/joseph_kim_the_family_i_lost_in_north_korea_and_the_family_i_gained?language=en
130,Imagine a European democracy without borders,https://www.ted.com/talks/george_papandreou_imagine_a_european_democracy_without_borders?language=en
131,"Love, no matter what",https://www.ted.com/talks/andrew_solomon_love_no_matter_what?language=en
132,Why I brought Pac-Man to MoMA,https://www.ted.com/talks/paola_antonelli_why_i_brought_pac_man_to_moma?language=en
133,How to escape education's death valley,https://www.ted.com/talks/sir_ken_robinson_how_to_escape_education_s_death_valley?language=en
134,In search of the man who broke my neck,https://www.ted.com/talks/joshua_prager_in_search_of_the_man_who_broke_my_neck?language=en
135,"We the People, and the Republic we must reclaim",https://www.ted.com/talks/lawrence_lessig_we_the_people_and_the_republic_we_must_reclaim?language=en
136,"The mind behind Tesla, SpaceX, SolarCity ...",https://www.ted.com/talks/elon_musk_the_mind_behind_tesla_spacex_solarcity?language=en
137,The dawn of de-extinction. Are you ready?,https://www.ted.com/talks/stewart_brand_the_dawn_of_de_extinction_are_you_ready?language=en
138,The way we think about charity is dead wrong,https://www.ted.com/talks/dan_pallotta_the_way_we_think_about_charity_is_dead_wrong?language=en
139,How to fight desertification and reverse climate change,https://www.ted.com/talks/allan_savory_how_to_fight_desertification_and_reverse_climate_change?language=en
140,Build a School in the Cloud,https://www.ted.com/talks/sugata_mitra_build_a_school_in_the_cloud?language=en
141,Agile programming — for your family,https://www.ted.com/talks/bruce_feiler_agile_programming_for_your_family?language=en
142,Use data to build better schools,https://www.ted.com/talks/andreas_schleicher_use_data_to_build_better_schools?language=en
143,The secret to desire in a long-term relationship,https://www.ted.com/talks/esther_perel_the_secret_to_desire_in_a_long_term_relationship?language=en
144,Fifty shades of gay,https://www.ted.com/talks/io_tillett_wright_fifty_shades_of_gay?language=en
145,How common threats can make common (political) ground,https://www.ted.com/talks/jonathan_haidt_how_common_threats_can_make_common_political_ground?language=en
146,What we learned from teetering on the fiscal cliff,https://www.ted.com/talks/adam_davidson_what_we_learned_from_teetering_on_the_fiscal_cliff?language=en
147,My battle to expose government corruption,https://www.ted.com/talks/heather_brooke_my_battle_to_expose_government_corruption?language=en
148,Terrorism is a failed brand,https://www.ted.com/talks/jason_mccue_terrorism_is_a_failed_brand?language=en
149,Your body language may shape who you are,https://www.ted.com/talks/amy_cuddy_your_body_language_may_shape_who_you_are?language=en
150,How the Internet will (one day) transform government,https://www.ted.com/talks/clay_shirky_how_the_internet_will_one_day_transform_government?language=en
151,The currency of the new economy is trust,https://www.ted.com/talks/rachel_botsman_the_currency_of_the_new_economy_is_trust?language=en
152,Strange answers to the psychopath test,https://www.ted.com/talks/jon_ronson_strange_answers_to_the_psychopath_test?language=en
153,What we're learning from online education,https://www.ted.com/talks/daphne_koller_what_we_re_learning_from_online_education?language=en
154,Behind the Great Firewall of China,https://www.ted.com/talks/michael_anti_behind_the_great_firewall_of_china?language=en
155,A vision of crimes in the future,https://www.ted.com/talks/marc_goodman_a_vision_of_crimes_in_the_future?language=en
156,The game that can give you 10 extra years of life,https://www.ted.com/talks/jane_mcgonigal_the_game_that_can_give_you_10_extra_years_of_life?language=en
157,We are all designers,https://www.ted.com/talks/john_hockenberry_we_are_all_designers?language=en
158,The journey across the high wire,https://www.ted.com/talks/philippe_petit_the_journey_across_the_high_wire?language=en
159,Feats of memory anyone can do,https://www.ted.com/talks/joshua_foer_feats_of_memory_anyone_can_do?language=en
160,Music and emotion through time,https://www.ted.com/talks/michael_tilson_thomas_music_and_emotion_through_time?language=en
161,A 40-year plan for energy,https://www.ted.com/talks/amory_lovins_a_40_year_plan_for_energy?language=en
162,Is our universe the only universe?,https://www.ted.com/talks/brian_greene_is_our_universe_the_only_universe?language=en
163,How do we heal medicine?,https://www.ted.com/talks/atul_gawande_how_do_we_heal_medicine?language=en
164,"Connected, but alone?",https://www.ted.com/talks/sherry_turkle_connected_but_alone?language=en
165,From mach-20 glider to hummingbird drone,https://www.ted.com/talks/regina_dugan_from_mach_20_glider_to_hummingbird_drone?language=en
166,Let's transform energy — with natural gas,https://www.ted.com/talks/t_boone_pickens_let_s_transform_energy_with_natural_gas?language=en
167,Listening to shame,https://www.ted.com/talks/brene_brown_listening_to_shame?language=en
168,"Religion, evolution, and the ecstasy of self-transcendence",https://www.ted.com/talks/jonathan_haidt_religion_evolution_and_the_ecstasy_of_self_transcendence?language=en
169,The clues to a great story,https://www.ted.com/talks/andrew_stanton_the_clues_to_a_great_story?language=en
170,We need to talk about an injustice,https://www.ted.com/talks/bryan_stevenson_we_need_to_talk_about_an_injustice?language=en
171,The power of introverts,https://www.ted.com/talks/susan_cain_the_power_of_introverts?language=en
172,2600 years of history in one object,https://www.ted.com/talks/neil_macgregor_2600_years_of_history_in_one_object?language=en
173,Hooked by an octopus,https://www.ted.com/talks/mike_degruy_hooked_by_an_octopus?language=en
174,Back to the future (of 1994),https://www.ted.com/talks/danny_hillis_back_to_the_future_of_1994?language=en
175,Atheism 2.0,https://www.ted.com/talks/alain_de_botton_atheism_2_0?language=en
176,The quest to understand consciousness,https://www.ted.com/talks/antonio_damasio_the_quest_to_understand_consciousness?language=en
177,The real reason for brains,https://www.ted.com/talks/daniel_wolpert_the_real_reason_for_brains?language=en
178,Stories cut from paper,https://www.ted.com/talks/beatrice_coron_stories_cut_from_paper?language=en
179,"A prosthetic arm that ""feels""",https://www.ted.com/talks/todd_kuiken_a_prosthetic_arm_that_feels?language=en
180,Learning from a barefoot movement,https://www.ted.com/talks/bunker_roy_learning_from_a_barefoot_movement?language=en
181,How to spot a liar,https://www.ted.com/talks/pamela_meyer_how_to_spot_a_liar?language=en
182,What do babies think?,https://www.ted.com/talks/alison_gopnik_what_do_babies_think?language=en
183,Trusting the ensemble,https://www.ted.com/talks/charles_hazlewood_trusting_the_ensemble?language=en
184,A doctor's touch,https://www.ted.com/talks/abraham_verghese_a_doctor_s_touch?language=en
185,The 6 killer apps of prosperity,https://www.ted.com/talks/niall_ferguson_the_6_killer_apps_of_prosperity?language=en
186,Hire the hackers!,https://www.ted.com/talks/misha_glenny_hire_the_hackers?language=en
187,Does democracy stifle economic growth?,https://www.ted.com/talks/yasheng_huang_does_democracy_stifle_economic_growth?language=en
188,How language transformed humanity,https://www.ted.com/talks/mark_pagel_how_language_transformed_humanity?language=en
189,Ending hunger now,https://www.ted.com/talks/josette_sheeran_ending_hunger_now?language=en
190,Time to end the war in Afghanistan,https://www.ted.com/talks/rory_stewart_time_to_end_the_war_in_afghanistan?language=en
191,"Trial, error and the God complex",https://www.ted.com/talks/tim_harford_trial_error_and_the_god_complex?language=en
192,A cello with many voices,https://www.ted.com/talks/maya_beiser_a_cello_with_many_voices?language=en
193,How we'll stop polio for good,https://www.ted.com/talks/bruce_aylward_how_we_ll_stop_polio_for_good?language=en
194,Visualizing ourselves ... with crowd-sourced data,https://www.ted.com/talks/aaron_koblin_visualizing_ourselves_with_crowd_sourced_data?language=en
195,A light switch for neurons,https://www.ted.com/talks/ed_boyden_a_light_switch_for_neurons?language=en
196,Teaching with the World Peace Game,https://www.ted.com/talks/john_hunter_teaching_with_the_world_peace_game?language=en
197,Remaking my voice,https://www.ted.com/talks/roger_ebert_remaking_my_voice?language=en
198,Looking past limits,https://www.ted.com/talks/caroline_casey_looking_past_limits?language=en
199,The greatest TED Talk ever sold,https://www.ted.com/talks/morgan_spurlock_the_greatest_ted_talk_ever_sold?language=en
200,The genius puppetry behind War Horse,https://www.ted.com/talks/handspring_puppet_co_the_genius_puppetry_behind_war_horse?language=en
201,If I should have a daughter ...,https://www.ted.com/talks/sarah_kay_if_i_should_have_a_daughter?language=en
202,The social animal,https://www.ted.com/talks/david_brooks_the_social_animal?language=en
