,title,link
113,Creativity builds nations,https://www.ted.com/talks/muthoni_drummer_queen_creativity_builds_nations?language=en
114,How one tree grows 40 different kinds of fruit,https://www.ted.com/talks/sam_van_aken_how_one_tree_grows_40_different_kinds_of_fruit?language=en
115,Einstein's twin paradox explained,https://www.ted.com/talks/amber_stuver_einstein_s_twin_paradox_explained?language=en
116,How we're building the world's largest family tree,https://www.ted.com/talks/yaniv_erlich_how_we_re_building_the_world_s_largest_family_tree?language=en
117,How couples can sustain a strong sexual connection for a lifetime,https://www.ted.com/talks/emily_nagoski_how_couples_can_sustain_a_strong_sexual_connection_for_a_lifetime?language=en
118,A bold plan to empower 1.6 million out-of-school girls in India,https://www.ted.com/talks/safeena_husain_a_bold_plan_to_empower_1_6_million_out_of_school_girls_in_india?language=en
119,4 questions you should always ask your doctor,https://www.ted.com/talks/christer_mjaset_4_questions_you_should_always_ask_your_doctor?language=en
120,How climate change could make our food less nutritious,https://www.ted.com/talks/kristie_ebi_how_climate_change_could_make_our_food_less_nutritious?language=en
121,What reading slowly taught me about writing,https://www.ted.com/talks/jacqueline_woodson_what_reading_slowly_taught_me_about_writing?language=en
122,A global initiative to end violence against children,https://www.ted.com/talks/howard_taylor_a_global_initiative_to_end_violence_against_children?language=en
123,"""Stumbling towards intimacy"": An improvised TED Talk",https://www.ted.com/talks/anthony_veneziale_stumbling_towards_intimacy_an_improvised_ted_talk?language=en
124,A 13-year-old's plan for removing plastic from the oceans,https://www.ted.com/talks/haaziq_kazi_a_13_year_old_s_plan_for_removing_plastic_from_the_oceans?language=en
125,What I learned about freedom after escaping North Korea,https://www.ted.com/talks/yeonmi_park_what_i_learned_about_freedom_after_escaping_north_korea?language=en
126,Can we choose to fall out of love?,https://www.ted.com/talks/dessa_can_we_choose_to_fall_out_of_love_feb_2019?language=en
127,How climate change affects your mental health,https://www.ted.com/talks/britt_wray_how_climate_change_affects_your_mental_health?language=en
128,A Holocaust survivor's blueprint for happiness,https://www.ted.com/talks/eddie_jaku_a_holocaust_survivor_s_blueprint_for_happiness?language=en
129,When do kids start to care about other people's opinions?,https://www.ted.com/talks/sara_valencia_botto_when_do_kids_start_to_care_about_other_people_s_opinions?language=en
130,"""You Have the Rite""",https://www.ted.com/talks/marc_bamuthi_joseph_you_have_the_rite?language=en
131,What's at the bottom of the ocean — and how we're getting there,https://www.ted.com/talks/victor_vescovo_what_s_at_the_bottom_of_the_ocean_and_how_we_re_getting_there?language=en
132,How sharks could inspire a new generation of medical devices,https://www.ted.com/talks/ethan_mann_how_sharks_could_inspire_a_new_generation_of_medical_devices?language=en
133,Why governments should prioritize well-being,https://www.ted.com/talks/nicola_sturgeon_why_governments_should_prioritize_well_being?language=en
134,How to use family dinner to teach politics,https://www.ted.com/talks/hajer_sharief_how_to_use_family_dinner_to_teach_politics?language=en
135,A new way to get every child ready for kindergarten,https://www.ted.com/talks/claudia_miner_a_new_way_to_get_every_child_ready_for_kindergarten?language=en
136,The fundamental right to seek asylum,https://www.ted.com/talks/melanie_nezer_the_fundamental_right_to_seek_asylum?language=en
137,How we're honoring people overlooked by history,https://www.ted.com/talks/amy_padnani_how_we_re_honoring_people_overlooked_by_history?language=en
138,3 ways to measure your adaptability — and how to improve it,https://www.ted.com/talks/natalie_fratto_3_ways_to_measure_your_adaptability_and_how_to_improve_it?language=en
139,How dogs help with conservation efforts,https://www.ted.com/talks/megan_parker_how_dogs_help_with_conservation_efforts?language=en
140,How augmented reality is changing activism,https://www.ted.com/talks/glenn_cantave_how_augmented_reality_is_changing_activism?language=en
141,"The next big thing is coming from the Bronx, again",https://www.ted.com/talks/jon_gray_the_next_big_thing_is_coming_from_the_bronx_again?language=en
142,You are not alone in your loneliness,https://www.ted.com/talks/jonny_sun_you_are_not_alone_in_your_loneliness?language=en
143,"How to ask for help — and get a ""yes""",https://www.ted.com/talks/heidi_grant_how_to_ask_for_help_and_get_a_yes?language=en
144,Why we need to fight misinformation about vaccines,https://www.ted.com/talks/ethan_lindenberger_why_we_need_to_fight_misinformation_about_vaccines?language=en
145,Why kids need to learn about gender and sexuality,https://www.ted.com/talks/lindsay_amer_why_kids_need_to_learn_about_gender_and_sexuality?language=en
146,5 challenges we could solve by designing new proteins,https://www.ted.com/talks/david_baker_5_challenges_we_could_solve_by_designing_new_proteins?language=en
147,My life as a work of art,https://www.ted.com/talks/daniel_lismore_my_life_as_a_work_of_art?language=en
148,3 steps to turn everyday get-togethers into transformative gatherings,https://www.ted.com/talks/priya_parker_3_steps_to_turn_everyday_get_togethers_into_transformative_gatherings?language=en
149,Why we need darkness,https://www.ted.com/talks/diane_knutson_why_we_need_darkness?language=en
150,The story we tell about millennials — and who we leave out,https://www.ted.com/talks/reniqua_allen_the_story_we_tell_about_millennials_and_who_we_leave_out?language=en
151,What it takes to launch a telescope,https://www.ted.com/talks/erika_hamden_what_it_takes_to_launch_a_telescope?language=en
152,These bacteria eat plastic,https://www.ted.com/talks/morgan_vague_these_bacteria_eat_plastic?language=en
153,How I define beauty,https://www.ted.com/talks/winnie_harlow_how_i_define_beauty?language=en
154,How I turned my Tourette's tics into art,https://www.ted.com/talks/jess_thom_how_i_turned_my_tourette_s_tics_into_art?language=en
155,How AI could become an extension of your mind,https://www.ted.com/talks/arnav_kapur_how_ai_could_become_an_extension_of_your_mind?language=en
156,Could a tattoo help you stay healthy?,https://www.ted.com/talks/carson_bruns_could_a_tattoo_help_you_stay_healthy?language=en
157,How your brain's executive function works — and how to improve it,https://www.ted.com/talks/sabine_doebel_how_your_brain_s_executive_function_works_and_how_to_improve_it?language=en
158,Why we ignore obvious problems — and how to act on them,https://www.ted.com/talks/michele_wucker_why_we_ignore_obvious_problems_and_how_to_act_on_them?language=en
159,How to recover from activism burnout,https://www.ted.com/talks/yana_buhrer_tavanier_how_to_recover_from_activism_burnout?language=en
160,The surprising connection between brain injuries and crime,https://www.ted.com/talks/kim_gorgens_the_surprising_connection_between_brain_injuries_and_crime?language=en
161,How generational stereotypes hold us back at work,https://www.ted.com/talks/leah_georges_how_generational_stereotypes_hold_us_back_at_work?language=en
162,How hip-hop helps us understand science,https://www.ted.com/talks/danielle_n_lee_how_hip_hop_helps_us_understand_science?language=en
163,Inside the black hole image that made history,https://www.ted.com/talks/sheperd_doeleman_inside_the_black_hole_image_that_made_history?language=en
164,The artificial muscles that will power robots of the future,https://www.ted.com/talks/christoph_keplinger_the_artificial_muscles_that_will_power_robots_of_the_future?language=en
165,How colorism shapes our standards of beauty,https://www.ted.com/talks/chika_okoro_how_colorism_shapes_our_standards_of_beauty?language=en
166,3 lessons on starting a movement from a self-defense trailblazer,https://www.ted.com/talks/rana_abdelhamid_3_lessons_on_starting_a_movement_from_a_self_defense_trailblazer?language=en
167,How risk-taking changes a teenager's brain,https://www.ted.com/talks/kashfia_rahman_how_risk_taking_changes_a_teenager_s_brain?language=en
168,Wearable tech that helps you navigate by touch,https://www.ted.com/talks/keith_kirkland_wearable_tech_that_helps_you_navigate_by_touch?language=en
169,How to lead a conversation between people who disagree,https://www.ted.com/talks/eve_pearlman_how_to_lead_a_conversation_between_people_who_disagree?language=en
170,What refugees need to start new lives,https://www.ted.com/talks/muhammed_idris_what_refugees_need_to_start_new_lives?language=en
171,How does income affect childhood brain development?,https://www.ted.com/talks/kimberly_noble_how_does_income_affect_childhood_brain_development?language=en
172,"""East Virginia"" / ""John Brown's Dream""",https://www.ted.com/talks/nora_brown_east_virginia_john_brown_s_dream?language=en
173,A short history of trans people's long fight for equality,https://www.ted.com/talks/samy_nour_younes_a_short_history_of_trans_people_s_long_fight_for_equality?language=en
174,"To detect diseases earlier, let's speak bacteria's secret language",https://www.ted.com/talks/fatima_alzahra_a_alatraktchi_to_detect_diseases_earlier_let_s_speak_bacteria_s_secret_language?language=en
175,What it's like to have Tourette's — and how music gives me back control,https://www.ted.com/talks/esha_alwani_what_it_s_like_to_have_tourette_s_and_how_music_gives_me_back_control?language=en
176,The beautiful future of solar power,https://www.ted.com/talks/marjan_van_aubel_the_beautiful_future_of_solar_power?language=en
177,The secret to scientific discoveries? Making mistakes,https://www.ted.com/talks/phil_plait_the_secret_to_scientific_discoveries_making_mistakes?language=en
178,"""My Man"" / ""Bohanna"" / ""We Dance""",https://www.ted.com/talks/crush_club_my_man_bohanna_we_dance?language=en
179,Where did the Moon come from? A new theory,https://www.ted.com/talks/sarah_t_stewart_where_did_the_moon_come_from_a_new_theory?language=en
180,"The ""dementia village"" that's redefining elder care",https://www.ted.com/talks/yvonne_van_amerongen_the_dementia_village_that_s_redefining_elder_care?language=en
181,An unexpected tool for understanding inequality: abstract math,https://www.ted.com/talks/eugenia_cheng_an_unexpected_tool_for_understanding_inequality_abstract_math?language=en
182,How I'm making bricks out of ashes and rubble in Gaza,https://www.ted.com/talks/majd_mashharawi_how_i_m_making_bricks_out_of_ashes_and_rubble_in_gaza?language=en
183,How a new species of ancestors is changing our theory of human evolution,https://www.ted.com/talks/juliet_brophy_how_a_new_species_of_ancestors_is_changing_our_theory_of_human_evolution?language=en
184,Is your country at risk of becoming a dictatorship? Here's how to know,https://www.ted.com/talks/farida_nabourema_is_your_country_at_risk_of_becoming_a_dictatorship_here_s_how_to_know?language=en
185,The self-assembling computer chips of the future,https://www.ted.com/talks/karl_skjonnemand_the_self_assembling_computer_chips_of_the_future?language=en
186,An architect's subversive reimagining of the US-Mexico border wall,https://www.ted.com/talks/ronald_rael_an_architect_s_subversive_reimagining_of_the_us_mexico_border_wall?language=en
187,How education helped me rewrite my life,https://www.ted.com/talks/ashweetha_shetty_how_education_helped_me_rewrite_my_life?language=en
188,What if all US health care costs were transparent?,https://www.ted.com/talks/jeanne_pinder_what_if_all_us_health_care_costs_were_transparent?language=en
189,How do we find dignity at work?,https://www.ted.com/talks/roy_bahat_and_bryn_freedman_how_do_we_find_dignity_at_work?language=en
190,A love story about the power of art as organizing,https://www.ted.com/talks/aja_monet_and_phillip_agnew_a_love_story_about_the_power_of_art_as_organizing?language=en
191,How doctors can help low-income patients (and still make a profit),https://www.ted.com/talks/p_j_parmar_how_doctors_can_help_low_income_patients_and_still_make_a_profit?language=en
192,Why noise is bad for your health — and what you can do about it,https://www.ted.com/talks/mathias_basner_why_noise_is_bad_for_your_health_and_what_you_can_do_about_it?language=en
193,Ink made of air pollution,https://www.ted.com/talks/anirudh_sharma_ink_made_of_air_pollution?language=en
194,The uncomplicated truth about women's sexuality,https://www.ted.com/talks/sarah_barmak_the_uncomplicated_truth_about_women_s_sexuality?language=en
195,How do we learn to work with intelligent machines?,https://www.ted.com/talks/matt_beane_how_do_we_learn_to_work_with_intelligent_machines?language=en
196,Can we solve global warming? Lessons from how we protected the ozone layer,https://www.ted.com/talks/sean_davis_can_we_solve_global_warming_lessons_from_how_we_protected_the_ozone_layer?language=en
197,The disarming case to act right now on climate change,https://www.ted.com/talks/greta_thunberg_the_disarming_case_to_act_right_now_on_climate_change?language=en
198,The power of women's anger,https://www.ted.com/talks/soraya_chemaly_the_power_of_women_s_anger?language=en
199,"""Autopilote"" / ""Pumper""",https://www.ted.com/talks/mai_lan_autopilote_pumper?language=en
200,What's needed to bring the US voting system into the 21st century,https://www.ted.com/talks/tiana_epps_johnson_what_s_needed_to_bring_the_us_voting_system_into_the_21st_century?language=en
201,A life-saving device that detects silent heart attacks,https://www.ted.com/talks/akash_manoj_a_life_saving_device_that_detects_silent_heart_attacks?language=en
202,3 ways to build a happy marriage and avoid divorce,https://www.ted.com/talks/george_blair_west_3_ways_to_build_a_happy_marriage_and_avoid_divorce?language=en
203,A beginner's guide to quantum computing,https://www.ted.com/talks/shohini_ghose_a_beginner_s_guide_to_quantum_computing?language=en
204,What should electric cars sound like?,https://www.ted.com/talks/renzo_vitale_what_should_electric_cars_sound_like?language=en
205,How India's smartphone revolution is creating a new generation of readers and writers,https://www.ted.com/talks/chiki_sarkar_how_india_s_smartphone_revolution_is_creating_a_new_generation_of_readers_and_writers?language=en
206,The secrets of learning a new language,https://www.ted.com/talks/lydia_machova_the_secrets_of_learning_a_new_language?language=en
207,"The joyful, perplexing world of puzzle hunts",https://www.ted.com/talks/alex_rosenthal_the_joyful_perplexing_world_of_puzzle_hunts?language=en
208,How I unlearned dangerous lessons about masculinity,https://www.ted.com/talks/eldra_jackson_how_i_unlearned_dangerous_lessons_about_masculinity?language=en
209,Why you should treat the tech you use at work like a colleague,https://www.ted.com/talks/nadjia_yousif_why_you_should_treat_the_tech_you_use_at_work_like_a_colleague?language=en
210,Por qué deberíamos comer más bichos,https://www.ted.com/talks/renata_di_tullio_por_que_deberiamos_comer_mas_bichos?language=en
211,The story of Marvel's first queer Latina superhero,https://www.ted.com/talks/gabby_rivera_the_story_of_marvel_s_first_queer_latina_superhero?language=en
212,Where do your online returns go?,https://www.ted.com/talks/aparna_mehta_where_do_your_online_returns_go?language=en
213,How video games turn players into storytellers,https://www.ted.com/talks/david_cage_how_video_games_turn_players_into_storytellers?language=en
